variant_id,stop_id
724973,1249
724973,27
724974,26
724974,3133
725688,1249
725688,27
725689,26
725689,3133
733519,576
733519,567
733520,2949
733520,575
733520,1740
733521,2949
733521,575
733521,1740
733521,874
733521,1244
733521,613
733522,1819
733522,942
733522,1743
737308,73
737308,3467
737309,2838
737309,3476
737309,74
737310,1704
737310,149
737311,148
737311,1705
737312,1704
737312,2251
737313,1015
737313,1705
737314,2716
737314,1704
737314,2951
737315,2952
737315,1705
737316,1704
737316,149
737317,148
737317,1705
737317,2716
737318,1704
737318,2251
737318,895
737319,992
737319,1015
737319,1705
737320,1704
737320,72
737320,1125
737320,1038
737321,96
737321,2482
737321,73
737321,1705
737322,2716
737322,1704
737322,2477
737323,2040
737323,1705
737324,2838
737324,3476
737324,74
737324,798
737325,2838
737325,3476
737325,74
737327,2838
737327,3476
737327,74
737328,74
737332,73
737333,799
737333,73
737334,1704
737334,149
737334,912
737335,148
737337,148
737337,1705
737337,2716
737338,153
737338,148
737338,1705
737339,153
737339,148
737340,153
737340,148
737340,1705
737340,2716
737341,148
737341,1705
737343,2251
737348,1015
737348,1705
737348,2716
737350,2952
737351,143
737351,1705
737351,2716
737352,1704
737352,149
737352,153
737353,153
737353,148
737354,153
737354,148
737354,1705
737356,148
737357,148
737357,1705
737358,148
737358,1705
737358,2716
737360,992
737360,1015
737362,992
737362,1015
737362,1705
737362,2716
737363,992
737363,1015
737363,1705
737364,992
737364,1015
737365,992
737365,1015
737365,1705
737365,2716
737366,1704
737366,2251
737366,895
737367,895
737368,895
737370,96
737370,2482
737370,73
737371,96
737371,2482
737371,73
737371,1705
737371,2716
737372,2040
737373,2040
737373,1705
737373,2716
737374,73
737374,3467
737376,1704
737376,149
737377,148
737377,1705
737378,1704
737378,2251
737379,1015
737379,1705
737380,2716
737380,1704
737380,2951
737381,2952
737381,1705
737382,1704
737382,149
737384,1704
737384,2251
737384,895
737385,992
737385,1015
737385,1705
737386,1704
737386,72
737386,1125
737386,1038
737387,96
737387,2482
737387,73
737387,1705
737389,2838
737389,3476
737389,74
737390,2838
737390,3476
737390,74
737390,2716
737391,2838
737391,3476
737391,74
737393,74
737394,74
737394,2716
737396,73
737398,1704
737398,149
737398,912
737399,148
737400,148
737400,1705
737401,148
737401,1705
737401,2716
737403,153
737403,148
737404,153
737404,148
737404,1705
737404,2716
737406,1015
737411,1015
737411,1705
737412,1015
737412,1705
737412,2716
737413,2952
737413,1705
737414,2952
737415,143
737415,1705
737415,2716
737420,148
737423,148
737423,1705
737424,992
737424,1015
737425,992
737425,1015
737425,1705
737426,992
737426,1015
737426,1705
737426,2716
737431,895
737434,96
737434,2482
737434,73
738830,553
738830,1742
738830,3517
738830,480
738831,481
738831,3526
738831,1743
738831,554
738832,481
738832,3526
738832,1743
738832,554
738833,553
738833,1742
738833,480
738835,481
738835,3526
738837,3517
738837,480
738838,480
738839,481
738839,3526
739529,553
739529,1742
739529,3517
739529,480
739530,481
739530,3526
739530,1743
739530,554
739531,481
739531,3526
739531,1743
739531,554
739532,553
739532,1742
739532,480
739535,553
739535,1742
739535,3517
739535,480
739535,2527
739536,3517
739536,480
746239,616
746239,1248
746239,711
746239,2279
746239,3599
746239,3604
746239,3601
746239,3663
746239,1083
746240,1200
746240,3662
746240,3600
746240,3603
746240,3598
746240,3415
746240,2828
746240,1819
746241,711
746241,3422
746241,3607
746241,3641
746241,3595
746242,3640
746242,3608
746242,3415
746242,2828
746243,616
746243,1248
746243,711
746243,2279
746243,3599
746243,3604
746243,3601
746244,3600
746244,3603
746244,3598
746244,3415
746244,2828
746244,1819
746245,711
746245,3607
746245,3641
746245,3027
746247,616
746247,1248
746247,711
746247,2279
746247,3599
746247,3604
746248,3617
746248,3603
746248,3598
746248,3415
746248,2828
746248,1819
746249,3420
746249,2782
